date,data,cols
1,.,channel1
2,.,channel1
3,.,channel1
4,.,channel1
5,.,channel1
6,.,channel1
7,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
8,.,channel1
9,.,channel1
10,.,channel1
11,.,channel1
12,.,channel1
13,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
14,.,channel1
15,.,channel1
16,.,channel1
17,.,channel1
18,.,channel1
19,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
20,.,channel1
21,.,channel1
22,.,channel1
23,.,channel1
24,.,channel1
25,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
26,.,channel1
27,.,channel1
28,.,channel1
29,.,channel1
30,.,channel1
31,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
32,.,channel1
33,.,channel1
34,.,channel1
35,.,channel1
36,.,channel1
37,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
38,.,channel1
39,.,channel1
40,.,channel1
41,.,channel1
42,.,channel1
43,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
44,.,channel1
45,.,channel1
46,.,channel1
47,.,channel1
48,.,channel1
49,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
50,.,channel1
51,.,channel1
52,.,channel1
53,.,channel1
54,.,channel1
55,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
56,.,channel1
57,.,channel1
58,.,channel1
59,.,channel1
60,.,channel1
61,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
62,.,channel1
63,.,channel1
64,.,channel1
65,.,channel1
66,.,channel1
67,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
68,.,channel1
69,.,channel1
70,.,channel1
71,.,channel1
72,.,channel1
73,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
74,.,channel1
75,.,channel1
76,.,channel1
77,.,channel1
78,.,channel1
79,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
80,.,channel1
81,.,channel1
82,.,channel1
83,.,channel1
84,.,channel1
85,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
86,.,channel1
87,.,channel1
88,.,channel1
89,.,channel1
90,.,channel1
91,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
92,.,channel1
93,.,channel1
94,.,channel1
95,.,channel1
96,.,channel1
97,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
98,.,channel1
99,.,channel1
100,.,channel1
101,.,channel1
102,.,channel1
103,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
104,.,channel1
105,.,channel1
106,.,channel1
107,.,channel1
108,.,channel1
109,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
110,.,channel1
111,.,channel1
112,.,channel1
113,.,channel1
114,.,channel1
115,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
116,.,channel1
117,.,channel1
118,.,channel1
119,.,channel1
120,.,channel1
121,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
122,.,channel1
123,.,channel1
124,.,channel1
125,.,channel1
126,.,channel1
127,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
128,.,channel1
129,.,channel1
130,.,channel1
131,.,channel1
132,.,channel1
133,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
134,.,channel1
135,.,channel1
136,.,channel1
137,.,channel1
138,.,channel1
139,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
140,.,channel1
141,.,channel1
142,.,channel1
143,.,channel1
144,.,channel1
145,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
146,.,channel1
147,.,channel1
148,.,channel1
149,.,channel1
150,.,channel1
151,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
152,.,channel1
153,.,channel1
154,.,channel1
155,.,channel1
156,.,channel1
157,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
158,.,channel1
159,.,channel1
160,.,channel1
161,.,channel1
162,.,channel1
163,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
164,.,channel1
165,.,channel1
166,.,channel1
167,.,channel1
168,.,channel1
169,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
170,.,channel1
171,.,channel1
172,.,channel1
173,.,channel1
174,.,channel1
175,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
176,.,channel1
177,.,channel1
178,.,channel1
179,.,channel1
180,.,channel1
181,.,channel1
182,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
183,.,channel1
184,.,channel1
185,.,channel1
186,.,channel1
187,.,channel1
188,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
189,.,channel1
190,.,channel1
191,.,channel1
192,.,channel1
193,.,channel1
194,service=ts-preserve-service level=INFO event=failure count=1 sample=[Preserve Service][Get Contacts] Fail. No contacts according to contacts id,channel1
195,.,channel1
196,.,channel1
197,.,channel1
198,.,channel1
199,.,channel1
